long_name,name,state,fines,standard_loan_weeks,ILS,website,
Yass Valley Library Service,Yass Valley,nsw,yes,?,Libero,https://www.yassvalley.nsw.gov.au/our-services/libraries/,
Alice Springs,Alice Springs,NT,no,?,OCLC WorldShare,https://alicesprings.nt.gov.au/recreation/library,
Alyangula,Alyangula,NT,no,?,OCLC WorldShare,https://www.facebook.com/alyangulacommunitylibrary/,
Barkly,Barkly,NT,no,?,OCLC WorldShare,https://www.barkly.nt.gov.au/services/library/services,
Central Desert,Central Desert,NT,no,?,OCLC WorldShare,https://centraldesert.nt.gov.au/community-services,
Coomalie,Coomalie,NT,no,4,OCLC WorldShare,https://www.coomalie.nt.gov.au/index.php/our-community/library-news?highlight=WyJsaWJyYXJ5Il0=,
Darwin,Darwin,NT,no,4,OCLC WorldShare,https://www.darwin.nt.gov.au/libraries,
East Arnhem,East Arnhem,NT,no,?,OCLC WorldShare,https://www.eastarnhem.nt.gov.au/library-knowledge-centres,
Katherine,Katherine,NT,no,?,OCLC WorldShare,https://www.katherine.nt.gov.au/community/library/about.aspx,
Litchfield,Litchfield,NT,no,?,OCLC WorldShare,https://litchfield.nt.gov.au/community/taminmin-library,
Palmerston,Palmerston,NT,no,4,OCLC WorldShare,https://www.palmerston.nt.gov.au/community/library,
Roper Gulf,Roper Gulf,NT,no,?,OCLC WorldShare,http://ropergulf.nt.gov.au/,
Tiwi Islands,Tiwi Islands,NT,no,?,OCLC WorldShare,https://tiwiislands.org.au/news-events/news,
Victoria Daly,Victoria Daly,NT,no,?,OCLC WorldShare,https://www.victoriadaly.nt.gov.au/,
West Arnhem,West Arnhem,NT,no,?,OCLC WorldShare,https://www.westarnhem.nt.gov.au/our-services/community-services/library-services-languages,
West Daly,West Daly,NT,no,?,OCLC WorldShare,https://www.westdaly.nt.gov.au/,
Christmas Island Shire Council,Christmas Island,ot,,4,OCLC Amlib,https://www.shire.gov.cx/library,
Cocos Keeling Islands Shire Council,Cocos (Keeling) Islands,ot,,3,OCLC Amlib,https://shire.cc/en/services/community-libraries.html,
Norfolk Island Library,Norfolk Island,ot,?,?,Softlink Liberty,http://www.norfolkisland.gov.nf/services/library,
Aurukun Shire Council,Aurukun Shire,qld,no,4,AIT Aurora,http://www.aurukun.qld.gov.au/services/cultural-services/library/,
Balonne Shire Council,Balonne Shire,qld,no,4,AIT Aurora,https://www.balonne.qld.gov.au/st-george-library-hub,
Banana Shire Council,Banana Shire,qld,yes,3,AIT Aurora,https://www.banana.qld.gov.au/community-cultural/facilities/library,
Barcaldine Regional Council,Barcaldine Regional,qld,no,4,AIT Aurora,https://www.barcaldinerc.qld.gov.au/council-services/libraries,
Barcoo Shire Council,Barcoo Shire,qld,no,4,AIT Aurora,https://barcoo.qld.gov.au/council-services/libraries,
Blackall-Tambo Regional Council,Blackall Tambo Regional,qld,no,4,AIT Aurora,http://www.btrc.qld.gov.au/libraries,
Boulia Library,Boulia,qld,?,4,AIT Aurora,https://www.boulia.qld.gov.au/services/library,
Brisbane City Council,Brisbane City,qld,no,4,SirsiDynix Symphony,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/libraries,
Bulloo Shire Council,Bulloo Shire,qld,yes,3,AIT Aurora,https://www.bulloo.qld.gov.au/our-community/library,
Bundaberg Regional Council,Bundaberg Regional,qld,no,3,Civica Spydus,https://www.artsbundaberg.com.au/libraries,
Burdekin Shire Council,Burdekin Shire,qld,no,4,SirsiDynix Symphony,https://www.burdekin.qld.gov.au/libraries,
Burke Shire Council,Burke Shire,qld,no,4,AIT Aurora,https://www.burke.qld.gov.au/our-services/library,
Cairns Regional Council,Cairns Regional,qld,no,3,Libero,https://www.cairns.qld.gov.au/library,
